date,category,value,notes
2024-01-08,Women's Wear,2800.00,Winter collection
2024-01-22,Men's Wear,1900.00,Seasonal sale
2024-02-05,Footwear,1500.00,New arrivals
2024-02-19,Accessories,800.00,Valentine gifts
2024-03-04,Women's Wear,3200.00,Spring launch
2024-03-18,Children,1200.00,School season
2024-04-01,Men's Wear,2400.00,Easter special
2024-04-15,Footwear,1800.00,Spring footwear
2024-04-29,Accessories,950.00,Accessory week
2024-05-13,Women's Wear,2600.00,Summer preview
2024-05-27,Children,1400.00,Kids summer
2024-06-10,Men's Wear,2100.00,Father's Day
2024-06-24,Footwear,2200.00,Summer sandals
2024-07-08,Accessories,1100.00,Summer sale
2024-07-22,Women's Wear,3500.00,High summer
2024-08-05,Children,1600.00,Back to school
2024-08-19,Men's Wear,2300.00,Fall preview
2024-09-02,Footwear,1900.00,Fall boots
2024-09-16,Accessories,1000.00,Fall accessories
2024-09-30,Women's Wear,3800.00,Fall collection
2024-10-14,Children,1800.00,Halloween prep
2024-10-28,Men's Wear,2700.00,Winter preview
2024-11-11,Footwear,2500.00,Holiday shopping
2024-11-25,Accessories,1400.00,Gift season
2024-12-09,Women's Wear,4200.00,Holiday party
2024-12-23,Children,2000.00,Christmas rush
