date,category,value,notes
2024-01-03,Fresh Produce,450.00,Weekly stock
2024-01-10,Dairy,280.00,Milk promotion
2024-01-17,Bakery,190.00,New recipes
2024-01-24,Fresh Produce,520.00,Winter fruits
2024-01-31,Meat & Seafood,380.00,Super Bowl prep
2024-02-07,Dairy,310.00,Cheese week
2024-02-14,Bakery,240.00,Valentine cakes
2024-02-21,Fresh Produce,480.00,Seasonal veggies
2024-02-28,Meat & Seafood,420.00,Month end
2024-03-06,Dairy,290.00,Spring dairy
2024-03-13,Bakery,210.00,Hot cross buns
2024-03-20,Fresh Produce,550.00,Spring harvest
2024-03-27,Meat & Seafood,390.00,Easter prep
2024-04-03,Dairy,320.00,April promotion
2024-04-10,Bakery,230.00,Pastries launch
2024-04-17,Fresh Produce,490.00,Organic week
2024-04-24,Meat & Seafood,450.00,Grilling season
2024-05-01,Dairy,280.00,May specials
2024-05-08,Bakery,200.00,Mother's Day
2024-05-15,Fresh Produce,600.00,Summer produce
2024-05-22,Meat & Seafood,480.00,Memorial Day
2024-05-29,Dairy,350.00,June prep
2024-06-05,Bakery,250.00,Summer treats
2024-06-12,Fresh Produce,620.00,Berry season
2024-06-19,Meat & Seafood,510.00,Father's Day BBQ
2024-06-26,Dairy,300.00,Ice cream week
2024-07-03,Bakery,280.00,July 4th prep
2024-07-10,Fresh Produce,580.00,Summer peak
2024-07-17,Meat & Seafood,460.00,Grilling peak
2024-07-24,Dairy,340.00,Cool treats
2024-07-31,Bakery,220.00,Summer end
2024-08-07,Fresh Produce,540.00,Late summer
2024-08-14,Meat & Seafood,430.00,Back to school
2024-08-21,Dairy,310.00,School snacks
2024-08-28,Bakery,240.00,Fall preview
2024-09-04,Fresh Produce,500.00,Fall harvest
2024-09-11,Meat & Seafood,410.00,Tailgating
2024-09-18,Dairy,290.00,Fall dairy
2024-09-25,Bakery,260.00,Pumpkin season
2024-10-02,Fresh Produce,470.00,Fall produce
2024-10-09,Meat & Seafood,440.00,October grilling
2024-10-16,Dairy,330.00,Hot cocoa prep
2024-10-23,Bakery,310.00,Halloween treats
2024-10-30,Fresh Produce,430.00,Winter prep
2024-11-06,Meat & Seafood,520.00,Thanksgiving prep
2024-11-13,Dairy,380.00,Holiday baking
2024-11-20,Bakery,350.00,Pie season
2024-11-27,Fresh Produce,490.00,Holiday produce
2024-12-04,Meat & Seafood,580.00,Holiday roasts
2024-12-11,Dairy,420.00,Party prep
2024-12-18,Bakery,400.00,Holiday cookies
2024-12-25,Fresh Produce,550.00,Christmas feast
