date,category,value,notes
2024-01-12,Consulting,5500.00,Q1 strategy session
2024-01-26,Development,8200.00,Mobile app phase 1
2024-02-09,Consulting,4200.00,Process optimization
2024-02-23,Design,3800.00,Brand refresh
2024-03-08,Development,9500.00,Backend migration
2024-03-22,Consulting,6000.00,Audit services
2024-04-05,Design,4500.00,UI overhaul
2024-04-19,Development,7800.00,API integration
2024-05-03,Consulting,5800.00,Training workshop
2024-05-17,Design,5200.00,Marketing materials
2024-05-31,Development,10500.00,Platform launch
2024-06-14,Consulting,6500.00,Quarterly review
2024-06-28,Design,4100.00,Summer campaign
2024-07-12,Development,8800.00,Feature expansion
2024-07-26,Consulting,5000.00,Strategic planning
2024-08-09,Design,4800.00,Rebranding phase
2024-08-23,Development,9200.00,Security upgrade
2024-09-06,Consulting,7200.00,Fall strategy
2024-09-20,Design,5500.00,Product design
2024-10-04,Development,11000.00,New module
2024-10-18,Consulting,6800.00,Performance audit
2024-11-01,Design,6000.00,Holiday campaign
2024-11-15,Development,8500.00,Year-end features
2024-11-29,Consulting,7500.00,2025 planning
2024-12-13,Design,4500.00,Annual report
2024-12-27,Development,12000.00,Year-end deployment
