date,category,value,notes
2024-01-05,Smartphones,4500.00,New Year sale
2024-01-18,Laptops,3200.00,Back to work promo
2024-02-03,Tablets,1800.00,Winter clearance
2024-02-14,Smartphones,2800.00,Valentine deals
2024-02-28,Accessories,950.00,End of month
2024-03-12,Laptops,4100.00,Spring campaign
2024-03-25,Gaming,2200.00,New releases
2024-04-08,Smartphones,3800.00,Easter promo
2024-04-20,Tablets,1500.00,Education discount
2024-05-05,Accessories,1100.00,Summer prep
2024-05-18,Gaming,3500.00,Gaming week
2024-06-02,Laptops,2900.00,Work from home
2024-06-15,Smartphones,5200.00,Flagship launch
2024-07-01,Tablets,2100.00,Holiday season
2024-07-14,Gaming,1800.00,Summer sale
2024-07-28,Accessories,750.00,Flash sale
2024-08-10,Smartphones,4100.00,Back to school
2024-08-23,Laptops,3600.00,Productivity boost
2024-09-05,Gaming,4200.00,New console launch
2024-09-18,Tablets,1900.00,Fall collection
2024-10-02,Accessories,1300.00,Pre-holiday
2024-10-15,Smartphones,5800.00,Model refresh
2024-11-08,Laptops,4400.00,Black Friday prep
2024-11-22,Gaming,3100.00,Black Friday
2024-12-10,Smartphones,6500.00,Holiday rush
2024-12-20,Accessories,2000.00,Last minute gifts
